Timestamp,Area,Crime_Type,Latitude,Longitude,Weather_Condition,Festival_Day,Payday
2023-10-17 03:01:00,Palayamkottai,Drug Offense,8.848978,78.027908,Clear,0,0
2022-03-31 18:27:00,Thoothukudi North,Theft,8.818739,78.046532,Clear,0,0
2023-12-20 17:26:00,Eral,Assault,8.917853,78.161886,Clear,0,0
2023-03-09 10:17:00,Thoothukudi South,Assault,8.991443,78.067319,Clear,0,0
2022-12-19 19:16:00,Thoothukudi North,Burglary,8.945946,78.107246,Stormy,1,0
2023-09-26 11:36:00,Ottapidaram,Assault,8.813911,78.132253,Rainy,0,0
2022-04-14 12:17:00,Ottapidaram,Robbery,8.966822,78.032531,Rainy,0,0
2023-12-01 20:04:00,Ottapidaram,Vandalism,8.834228,78.145825,Cloudy,0,0
2023-10-18 22:35:00,Ottapidaram,Assault,8.864857,78.153663,Clear,0,1
2023-02-15 08:04:00,Kayalpattinam,Assault,8.975274,78.062936,Stormy,0,0
2023-04-15 04:16:00,Thoothukudi South,Assault,8.948998,78.107795,Stormy,0,0
2022-08-13 04:32:00,Thoothukudi North,Robbery,8.951156,78.172221,Cloudy,0,0
2023-03-09 19:04:00,Eral,Robbery,8.919178,78.09361,Rainy,0,0
2022-01-12 21:46:00,Ottapidaram,Theft,8.976958,78.150176,Rainy,0,0
2023-04-10 00:46:00,Palayamkottai,Drug Offense,8.994378,78.152392,Clear,0,0
2023-10-17 16:38:00,Thoothukudi South,Assault,8.874783,78.03231,Clear,0,0
2022-04-25 11:56:00,Srivaikuntam,Burglary,8.861503,78.011585,Clear,1,0
2023-06-30 04:08:00,Eral,Drug Offense,8.98937,78.033025,Stormy,0,0
2023-12-08 06:45:00,Eral,Murder,8.99903,78.129976,Stormy,0,0
2022-09-11 07:04:00,Thoothukudi North,Murder,8.917662,78.046023,Cloudy,0,0
2022-02-02 10:04:00,Thoothukudi South,Vandalism,8.855695,78.097083,Cloudy,0,0
2023-08-14 15:15:00,Eral,Burglary,8.961499,78.038082,Clear,0,0
2023-02-25 14:55:00,Thoothukudi North,Drug Offense,8.934673,78.196833,Clear,1,0
2022-04-22 07:12:00,Kayalpattinam,Assault,8.889723,78.084376,Rainy,0,0
2022-03-19 14:51:00,Srivaikuntam,Burglary,8.910065,78.010118,Clear,0,0
2022-08-31 05:26:00,Eral,Robbery,8.842749,78.080208,Clear,0,1
2022-09-29 14:18:00,Ottapidaram,Robbery,8.991464,78.199085,Stormy,0,0
2022-03-01 18:47:00,Thoothukudi North,Vandalism,8.949595,78.011433,Stormy,0,0
2022-06-11 01:32:00,Srivaikuntam,Theft,8.837165,78.119007,Cloudy,0,0
2023-08-07 07:37:00,Thoothukudi North,Vandalism,8.923876,78.083845,Rainy,0,0
2022-11-18 07:16:00,Thoothukudi South,Robbery,8.934338,78.059999,Rainy,0,0
2022-01-10 14:39:00,Thoothukudi North,Vandalism,8.814652,78.042631,Rainy,0,0
2022-03-12 07:23:00,Thoothukudi South,Murder,8.887637,78.108644,Rainy,0,0
2023-11-01 16:00:00,Srivaikuntam,Drug Offense,8.91092,78.186351,Clear,0,0
2022-04-20 23:35:00,Palayamkottai,Assault,8.856351,78.042126,Rainy,0,0
2022-09-28 16:31:00,Srivaikuntam,Murder,8.81016,78.126857,Rainy,1,0
